date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:16	2891/2891	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202026%2011:03:22%20GMT	https://engagement-integration.de/robots.txt		(from )
12:03:17	249391/249391	---MCZ	200	added ('OK')	text/html	etag:%2287zy3z05075cdm%22	https://engagement-integration.de/	C:/Mes%20Sites%20Web/engament/engagement-integration.de/index.html	(from )
12:03:18	57940/57940	---MCZ	200	added ('OK')	font/ttf	etag:W/%22e254-19eb67f0430%22	https://engagement-integration.de/_next/static/media/08ba70b8711450ea-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/08ba70b8711450ea-s.p.ttf	(from https://engagement-integration.de/)
12:03:19	310832/310832	---MCZ	200	added ('OK')	font/ttf	etag:W/%224be30-19eb67f0430%22	https://engagement-integration.de/_next/static/media/0b4ff3e020f1ae12-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/0b4ff3e020f1ae12-s.p.ttf	(from https://engagement-integration.de/)
12:03:20	310252/310252	---MCZ	200	added ('OK')	font/ttf	etag:W/%224bbec-19eb67f0430%22	https://engagement-integration.de/_next/static/media/1282ebc61b96a9d9-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/1282ebc61b96a9d9-s.p.ttf	(from https://engagement-integration.de/)
12:03:21	158240/158240	---MCZ	200	added ('OK')	font/ttf	etag:W/%2226a20-19eb67f0430%22	https://engagement-integration.de/_next/static/media/4b4ebe20759bdbf2-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/4b4ebe20759bdbf2-s.p.ttf	(from https://engagement-integration.de/)
12:03:22	57800/57800	---MCZ	200	added ('OK')	font/ttf	etag:W/%22e1c8-19eb67f0430%22	https://engagement-integration.de/_next/static/media/4e9239ead7b4df45-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/4e9239ead7b4df45-s.p.ttf	(from https://engagement-integration.de/)
12:03:23	316220/316220	---MCZ	200	added ('OK')	font/ttf	etag:W/%224d33c-19eb67f0430%22	https://engagement-integration.de/_next/static/media/524c2f2ba740ce37-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/524c2f2ba740ce37-s.p.ttf	(from https://engagement-integration.de/)
12:03:23	159892/159892	---MCZ	200	added ('OK')	font/ttf	etag:W/%2227094-19eb67f0430%22	https://engagement-integration.de/_next/static/media/8b20023e8f811f53-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/8b20023e8f811f53-s.p.ttf	(from https://engagement-integration.de/)
12:03:24	315132/315132	---MCZ	200	added ('OK')	font/ttf	etag:W/%224cefc-19eb67f0430%22	https://engagement-integration.de/_next/static/media/8d213a541b09f168-s.p.ttf	C:/Mes%20Sites%20Web/engament/engagement-integration.de/_next/static/media/8d213a541b09f168-s.p.ttf	(from https://engagement-integration.de/)
